tgl,idpeg,jammasuk,jamkeluar
7/14/2019,LPY/PB 0031140786,6:45:30,13:05:50
7/14/2019,LPY/PB 0172180788,6:45:30,13:05:50
7/14/2019,LPY/PB 0311010691,7:45:30,13:05:50
7/14/2019,LPY/PB 0402060792,6:45:30,13:05:50
7/14/2019,LPY/PB 0471190793,6:45:30,13:05:50
7/14/2019,LPY/PB 0621200794,7:45:30,13:05:50
7/14/2019,LPY/PB 0695170795,6:45:30,13:05:50
7/14/2019,LPY/PB 0791150796,6:45:30,13:05:50
7/14/2019,LPY/PB 0841290595,6:45:30,13:05:50
7/14/2019,LPY/PB 0885210797,6:45:30,13:05:50
7/14/2019,LPY/PB 0972070897,6:30:30,13:05:50
7/14/2019,LPY/PB 1152040898,6:45:30,13:05:50
7/14/2019,LPY/PB 1242000799,6:45:30,13:05:50
7/14/2019,LPY/PB 1542140702,6:45:30,13:05:50
7/14/2019,LPY/PB 1585150702,6:45:30,13:05:50
7/14/2019,LPY/PB 1634001002,7:00:00,13:05:50
7/14/2019,LPY/PB 1872240903,6:45:30,13:05:50
7/14/2019,LPY/PB 1962020505,6:45:30,13:05:50
7/14/2019,LPY/PB 2252170706,6:45:30,13:05:50
7/14/2019,LPY/PB 2376080107,6:45:30,13:05:50
7/14/2019,LPY/PB 2433110607,6:45:30,13:05:50
7/14/2019,LPY/PB 2502300707,6:45:30,13:05:50
7/14/2019,LPY/PB 2662140708,7:00:00,13:05:50
7/14/2019,LPY/PB 2705140708,6:45:30,13:05:50
7/14/2019,LPY/PB 2844001108,6:45:30,13:05:50
7/14/2019,LPY/PB 2854001108,6:45:30,13:05:50
7/14/2019,LPY/PB 3022130709,6:45:30,13:05:50
7/14/2019,LPY/PB 3074150509,7:00:00,13:05:50
7/14/2019,LPY/PB 3136110110,6:45:30,13:05:50
7/14/2019,LPY/PB 3184290310,6:45:30,13:05:50
7/14/2019,LPY/PB 3193260410,7:00:00,13:05:50
7/14/2019,LPY/PB 3201030510,6:45:30,13:05:50
7/14/2019,LPY/PB 3212140610,6:45:30,13:05:50
7/14/2019,LPY/PB 3242120710,6:45:30,13:05:50
7/14/2019,LPY/PB 3265120710,7:00:00,13:05:50
7/14/2019,LPY/PB 3294110610,6:45:30,13:05:50
7/14/2019,LPY/PB 3365001110,7:20:00,13:05:50
7/14/2019,LPY/PB 3371130111,6:45:30,13:05:50
7/14/2019,LPY/PB 3511241011,7:00:00,13:05:50
7/14/2019,LPY/PB 3555300412,6:45:30,13:05:50
7/14/2019,LPY/PB 3572160712,6:45:30,13:05:50
7/14/2019,LPY/PB 3606140714,6:45:30,13:05:50
7/14/2019,LPY/PB 3641030912,7:20:00,13:05:50
7/14/2019,LPY/PB 3656221012,6:45:30,13:05:50
7/14/2019,LPY/PB 3685000807,6:45:30,13:05:50
7/14/2019,LPY/PB 3693031212,6:45:30,13:05:50
7/14/2019,LPY/PB 3855110214,6:45:30,13:05:50
7/14/2019,LPY/PB 3883060114,7:00:00,13:05:50
7/14/2019,LPY/PB 3902140714,6:45:30,13:05:50
7/14/2019,LPY/PB 3925140714,6:45:30,13:05:50
7/14/2019,LPY/PB 3952270814,6:45:30,13:05:50
7/14/2019,LPY/PB 3993241114,7:00:00,13:05:50
7/14/2019,LPY/PB 4012040515,6:45:30,13:05:50
7/14/2019,LPY/PB 4105060616,6:45:30,13:05:50
7/14/2019,LPY/PB 4122180716,6:45:30,13:05:50
7/14/2019,LPY/PB 4141180716,7:00:00,13:05:50
7/14/2019,LPY/PB  4163190916,6:45:30,13:05:50
7/14/2019,LPY/PB 4193140617,6:45:30,13:05:50
7/14/2019,LPY/PB 4231230418,7:00:00,13:05:50
7/14/2019,LPY/PB 4226070218,6:45:30,13:05:50
7/14/2019,LPY/PB 4246090718,6:45:30,13:05:50
7/14/2019,LPY/PB 4263200618,7:00:00,13:05:50
7/14/2019,LPY/PB 4276090718,6:45:30,13:05:50
7/14/2019,LPY/PB 4304?,6:45:30,13:05:50
7/14/2019,LPY/PB  4324?,7:20:00,13:05:50
7/14/2019,LPY/PB 4333010819,6:45:30,13:05:50
7/14/2019,LPY/PB 4346080719,6:45:30,13:05:50
7/14/2019,LPY/PB 4356080719,6:45:30,13:05:50
7/14/2019,LPY/PB 4366080719,7:20:00,13:05:50
7/14/2019,LPY/PB 4372120819,6:45:30,13:05:50
